ba,first_hour,last_hour,expected_hours,actual_hours,missing_hours,pct_complete,duplicate_rows,null_D,null_DF,null_NG,null_TI,negative_D,negative_DF,zero_D,zero_DF,implausible_D,implausible_DF,outlier_hours_D,median_abs_imbalance_pct,p95_abs_imbalance_pct,hours_imbalance_over_5pct,overall_MAPE,hours_balance_clean,hours_balance_dirty,hours_balance_unknown,MAPE_balance_clean,MAPE_balance_dirty
PJM,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,73,2,72,0,0,0,0,0,0,0,1.002,6.248,1820,3.482,15629,1820,72,3.419,4.021
MISO,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,96,0,75,0,0,0,0,0,0,0,2.197,3.261,9,2.433,17437,9,75,2.436,1.574
CISO,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,120,24,122,0,0,0,0,0,0,0,3.872,29.842,6430,8.358,10969,6430,122,6.951,10.728
ERCO,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,96,24,96,0,0,0,0,0,0,0,0.0,0.002,0,2.147,17425,0,96,2.15,
ISNE,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,2.782,17519,0,2,2.782,
NYIS,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,72,0,72,0,0,10,92,10,92,0,0.0,0.0,0,3.234,17439,0,82,3.231,
SWPP,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,528,0,168,0,0,0,0,0,14,0,0.0,0.195,272,7.696,17081,272,168,7.675,11.213
SOCO,2024-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,17521,17521,0,100.0,0,0,26,1,24,0,0,0,0,1,0,0,0.0,0.009,304,1.884,17192,304,25,1.888,1.775
